pair_id,method,status,reference_path,output_path,iou_lip,dice_lip,iou_eye,dice_eye,iou_makeup,dice_makeup
9,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG581.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair09_result.png,0.6412485183721849,0.7814155031295137,0.22360655737704918,0.3654876741693462,0.3723613847452857,0.5426579163248565
9,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG581.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair09_result.png,0.6910266457680251,0.8172865253157224,0.25186255976870897,0.40238052940131463,0.4108675604738597,0.5824325003770928
9,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG581.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair09_vSYYZ761_vFG581.png,0.6999258160237388,0.823478071132446,0.2034109816971714,0.3380573798824749,0.38179637526652455,0.5526087375831806
10,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG587.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair10_result.png,0.43648351648351646,0.6077111383108935,0.3542713567839196,0.5231910946196661,0.3793797825211438,0.55007299270073
10,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG587.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair10_result.png,0.43087971274685816,0.6022584692597239,0.3828934506353861,0.5537569802785043,0.39745335693858097,0.5688252204843347
10,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG587.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair10_vSYYZ769_vFG587.png,0.7374301675977654,0.8488745980707395,0.4860162254483348,0.6541196753106817,0.5604238689313091,0.7182969705726533
11,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG639.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair11_result.png,0.4963814939260791,0.663442438898005,0.0,0.0,0.20153208457946378,0.3354585152838428
11,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG639.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair11_result.png,0.5111950013017443,0.6765440606426049,0.0,0.0,0.20629333893675142,0.34202848059922486
11,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG639.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair11_vSYYZ790_vFG639.png,0.42020650895307804,0.5917540953432726,0.00687108133642532,0.0136483835195769,0.17077848035658755,0.2917349152242242
12,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG651.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair12_result.png,0.7335733573357336,0.8463136033229491,0.5735222276502199,0.7289661595777709,0.6407179971658007,0.781021477514827
12,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG651.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair12_result.png,0.7372082585278277,0.8487275545795117,0.5576863594184968,0.7160444797458301,0.6309284013916865,0.7737045977656768
12,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG651.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair12_vSYYZ850_vFG651.png,0.8429715302491103,0.9147960415158098,0.5900680056934999,0.7421921623234533,0.695165911821795,0.8201744820065431
13,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG844.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair13_result.png,0.7044912559618441,0.826629357584237,0.25236414961185605,0.4030203989631466,0.4401254435916481,0.6112320916905444
13,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG844.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair13_result.png,0.6977334896443923,0.8219587984808379,0.2650652596500972,0.41905389090110856,0.4448051948051948,0.6157303370786517
13,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG844.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair13_vSYYZ861_vFG844.png,0.6858355847163258,0.8136446886446886,0.29123843782117165,0.4510993930952144,0.4489433904056764,0.6196838239207964
14,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG98.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair14_result.png,0.01753193802663767,0.03445973019901162,0.07320834347861375,0.13642894955758905,0.05239087351999593,0.09956542732979237
14,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG98.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair14_result.png,0.019686621132985135,0.038613081166272656,0.07252657399836468,0.13524433940687658,0.05249530385337869,0.09975399160677247
14,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vFG98.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair14_vSYYZ880_vFG98.png,0.8066528066528067,0.8929804372842347,0.5004376641240466,0.6670555879656638,0.5999155761924863,0.7499340404200306
15,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vHX109.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair15_result.png,0.00022629554197782303,0.00045248868778280545,0.26970550021654394,0.4248315852306643,0.13793294234812437,0.242427189186561
15,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vHX109.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair15_result.png,0.0044222700986506405,0.008805599458116957,0.30940621227088133,0.47259010896898573,0.15939765755716676,0.27496632672695787
15,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vHX109.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair15_vSYYZ953_vHX109.png,0.6596578025149453,0.7949323065457707,0.4101249178172255,0.5816859380828049,0.507305716120745,0.6731291611185086
16,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/08d07734712422248a6af552f03453ea.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair16_result.png,0.04628145913846734,0.08846846846846847,0.039889030516607936,0.0767178599754849,0.04272112252568279,0.08194160759341583
16,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/08d07734712422248a6af552f03453ea.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair16_result.png,0.047408105560791704,0.09052461081616126,0.048452426442491404,0.09242656170274802,0.04798480692129141,0.09157538659793814
16,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/08d07734712422248a6af552f03453ea.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair16_XMY-176_08d07734712422248a6af552f03453ea.png,0.7238674563790619,0.8398179960999165,0.4454942718790599,0.6163902279598006,0.5636808481718092,0.7209666203059806
17,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/0d384dbbcc121ca5049c423f81c26e6a.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair17_result.png,0.6692456479690522,0.8018539976825029,0.25816615901691,0.41038484013690624,0.4028316656456334,0.5743121937017808
17,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/0d384dbbcc121ca5049c423f81c26e6a.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair17_result.png,0.6787053483323465,0.8086056901011051,0.2555772591754909,0.4071071808728404,0.40050020278491283,0.5719388001351416
17,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/0d384dbbcc121ca5049c423f81c26e6a.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair17_xfsy_0037_0d384dbbcc121ca5049c423f81c26e6a.png,0.896964691307041,0.9456841188636116,0.24057008144020575,0.38783795456508596,0.46483245149911817,0.6346561356193412
18,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/73f84e0462a6d0331f31f545cf87dae5.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair18_result.png,0.0,0.0,0.07171760654326302,0.13383676092544988,0.03956117021276596,0.07611128877518389
