pair_id,method,status,image_path,nme_full,nme_jaw,nme_brow,nme_nose,nme_eyes,nme_mouth
23,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair23_result.png,0.030701863381406586,0.027992736331282336,0.03471140711038297,0.03327575332505608,0.02843125608842383,0.0312039629491008
23,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair23_result.png,0.030625516528264417,0.029713225329261076,0.02721536529361355,0.02880422666715113,0.02791434010470932,0.03555233949578078
23,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair23_xfsy_0260_XMY-014.png,0.6648331359534394,0.7766469503403215,0.48502443443939924,0.6325453006304045,0.5271741747339359,0.7568205855659318
24,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair24_result.png,0.008002265570712914,0.008954888565367176,0.0067416547216497666,0.009904319522748327,0.007326203998988012,0.007372557830579799
24,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair24_result.png,0.011099668190396459,0.012469373474635092,0.013255374910762313,0.0050747853222932295,0.0070602019251656024,0.013992445194880045
24,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair24_xfsy_0303_XMY-060.png,0.6753987304365818,0.7784537908328071,0.49223503294213433,0.6420806680944696,0.5489982289217709,0.7702171176217131
25,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair25_result.png,0.02755834856348502,0.03560251456208212,0.02643316767370087,0.023166010242051806,0.024326231925025005,0.025199211538699653
25,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair25_result.png,0.02757878250046236,0.03351525576729599,0.02226609554252981,0.022475498868130633,0.0244214720669617,0.029379978461266935
25,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair25_xfsy_0383_XMY-402.png,0.6765349663908108,0.7963742149977899,0.49970907282033583,0.6247203001232497,0.5428158232939462,0.7666327702026103
26,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair26_result.png,0.025659323775430336,0.03252316341107147,0.022805794603482327,0.01772874748786364,0.025140941928644984,0.025131617788204386
26,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair26_result.png,0.026566584868490076,0.024991808327306766,0.02840302521912081,0.026510941276306127,0.02793298090968233,0.026192136396661708
26,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair26_xfsy_0417_XYH-005.png,0.627182164737369,0.7043474407305221,0.4702475920787531,0.6040434152569237,0.5123483908803215,0.7193716844315915
27,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair27_result.png,0.02827912651791098,0.03592565742512534,0.02878268461645118,0.022191128909032264,0.023564268372891287,0.027096310311306007
27,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair27_result.png,0.02789900988607244,0.030020311886395867,0.024733779982638742,0.02679038330900839,0.027339381117389445,0.028513183262809886
27,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair27_xfsy_0441_XYH-049.png,0.6661190768322361,0.793376716129488,0.49288016943843144,0.6118452842404488,0.5475840693070545,0.74011366110434
28,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair28_result.png,0.027071309389408865,0.022401404418466612,0.023885463008736958,0.029060442517879554,0.022786286163976658,0.034309557754741364
28,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair28_result.png,0.026673717739324997,0.026790261336183025,0.020122940654067775,0.03047685335228754,0.023945852355695695,0.029775358887722404
28,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair28_xfsy_0474_af0133cb94d36f4ab6fd45bb08a12d63.png,0.6786036573129478,0.8086303515264656,0.49584371203790634,0.6120807087828913,0.5470424616428766,0.7683329939514572
29,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair29_result.png,0.09884765575732932,0.1019153725131785,0.09753047800313032,0.095876238220543,0.09812534371068378,0.09866922852073345
29,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair29_result.png,0.0976445443661113,0.10187387451136516,0.10070365211703107,0.09490789640133675,0.09843555131217296,0.09327695643593148
29,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair29_xfsy_0481_b41f1f7fd71a2744bd9c2fcfe55e12b6.png,0.6433972073474468,0.7396455990341665,0.48165504895819466,0.6032565232166323,0.526574545668917,0.7306141033498169
30,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair30_result.png,0.10360447200584914,0.1009569960112466,0.10250280729608242,0.10581103367232496,0.10008857839871199,0.10752223340921635
30,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair30_result.png,0.10294104559566986,0.1005994093801067,0.10250449449190512,0.10404347047058747,0.10242001109668075,0.10496622444089915
30,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair30_xfsy_0520_retertet.png,0.6744811644177644,0.7608605474929432,0.5046002970057948,0.6458248911740154,0.5476030002766754,0.7750214725024409
